Bridge Site ID,Longitude,Latitude,District,Country
006f100000eekh0,29.87094,-2.06667,all,Rwanda
006f100000d7b6V,29.199971,-2.279466,all,Rwanda
006f100000eeqqS,29.852021,-1.873616,all,Rwanda
006f100000d7bIl,29.577776,-2.396316,all,Rwanda
006f100000a86GX,29.47124,-2.68572,all,Rwanda
006f100000a86FZ,29.585978,-2.265518,all,Rwanda
006f100000a86HI,29.3777,-1.7091666,all,Rwanda
006f100000a86IP,29.37083,-1.915,all,Rwanda
006f100000d7ib4,29.79172,-1.61697,all,Rwanda
006f100000d7x5j,29.76373,-2.7234,all,Rwanda
006f100000c5V5L,30.00825,-1.53941,all,Rwanda
006f100000a86E3,29.716686,-2.076671,all,Rwanda
006f100000d7ESA,29.923,-1.59185,all,Rwanda
006f100000d7ibT,29.789747,-1.63681,all,Rwanda
006f100000bNTvY,29.6838,-2.12042,all,Rwanda
006f100000d1fMT,29.51245167,-2.19859833,all,Rwanda
006f100000d6yLH,29.57457,-1.67321,all,Rwanda
006f100000bKz7z,29.65638889,-1.733888889,all,Rwanda
006f100000a86Fy,29.64216,-2.32999,all,Rwanda
006f100000a86IM,29.38262,-1.89155,all,Rwanda
006f100000a86IE,29.00909,-2.6668,all,Rwanda
006f100000d6ksK,29.77379,-1.91078,all,Rwanda
006f100000d75zo,29.89186,-1.59194,all,Rwanda
006f100000a86EJ,29.54068,-1.82084,all,Rwanda
006f100000d7jEV,29.291024,-2.224749,all,Rwanda
006f100000a86Ew,30.314539,-1.308813,all,Rwanda
006f100000d75z5,29.54972333,-2.52459333,all,Rwanda
006f100000a86GE,29.45532,-2.69445,all,Rwanda
0063Z00000mZ1W5,29.826677,-1.650908,all,Rwanda
006f100000d7ayl,29.4254,-2.13809,all,Rwanda
006f100000a86Fr,29.277965,-2.19761,all,Rwanda
006f100000d6krd,29.39109667,-2.43816,all,Rwanda
006f100000a86Gc,29.439786,-2.654561,all,Rwanda
006f100000d6kxe,29.466929,-2.332691,all,Rwanda
006f100000d7wXd,29.42564,-2.17507,all,Rwanda
006f100000d7j9u,30.60922,-1.9314,all,Rwanda
006f100000a86EH,30.26261,-2.16867,all,Rwanda
006f100000d78Ou,29.602603,-2.310138,all,Rwanda
006f100000dhpDe,29.81693,-2.18748,all,Rwanda
006f100000a86HY,29.88583,-1.66139,all,Rwanda
006f100000a86I9,28.99726,-2.6891,all,Rwanda
0063Z00000jhEEj,29.667964,-1.827983,all,Rwanda
006f100000eeuy1,29.5944,-2.155625,all,Rwanda
006f100000d1Tta,28.95512,-2.6627,all,Rwanda
006f100000aWV5f,29.67439,-2.41201,all,Rwanda
006f100000a86Hi,30.08422,-1.75497,all,Rwanda
006f100000d6kvd,29.3925,-1.9955,all,Rwanda
006f100000d88IR,29.204765,-2.401998,all,Rwanda
006f100000d7Q5v,29.616916,-1.454949,all,Rwanda
006f100000d7ide,29.34985,-1.94498,all,Rwanda
006f100000a86F7,29.563708,-2.213863,all,Rwanda
006f100000eekXq,30.0279,-2.0638,all,Rwanda
006f100000d7Q6A,29.531147,-1.475588,all,Rwanda
006f100000d7azZ,29.44281,-2.108,all,Rwanda
006f100000eekYo,30.025352,-1.94731,all,Rwanda
006f100000d1hH3,29.1393,-2.37845,all,Rwanda
006f100000cME4T,29.47704,-1.91924,all,Rwanda
006f100000d7Q5M,29.633423,-1.529524,all,Rwanda
006f100000d7kjZ,30.05076,-1.66082,all,Rwanda
006f100000a86Hb,29.89917,-1.68306,all,Rwanda
006f100000d1Ttf,28.95315,-2.6639,all,Rwanda
006f100000eeqsY,29.951748,-1.985042,all,Rwanda
006f100000d761L,29.68145493,-2.0118896,all,Rwanda
006f100000efEfz,30.071417,-1.965138,all,Rwanda
006f100000d1hN1,29.46918,-2.71276,all,Rwanda
006f100000d7jDN,30.65996,-2.0901,all,Rwanda
006f100000d7iVu,29.3952777,-1.99666,all,Rwanda
006f100000c5jCG,30.06977,-1.693048,all,Rwanda
006f100000d6wCD,29.67587526,-1.77785489,all,Rwanda
006f100000aSNCV,29.336259,-1.700514,all,Rwanda
006f100000d7aze,29.41945,-2.11251,all,Rwanda
006f100000d7ia1,29.372199,-1.876611,all,Rwanda
006f100000asF27,29.529766,-2.77142,all,Rwanda
006f100000a86HJ,29.379722,-1.70833,all,Rwanda
006f100000cx4bN,29.461388,-1.96222,all,Rwanda
006f100000eesiZ,29.9489,-1.937733,all,Rwanda
006f100000d78OG,29.499042,-2.335233,all,Rwanda
